212,PDEX_10JAR100,Dextrometorfano 10 mg. / 5 ml. Jarabe x 1 Fco. x 100 ml.,si,dextrometorfano-10-mg--5-ml-jarabe-x-1-fco-x-100-ml
213,PDEX_15COM100,Dextrometorfano 15 mg. x 100 comprimidos,si,dextrometorfano-15-mg-x-100-comprimidos
214,PDEX___JAR100,Dextrofen Jarabe x 1 Fco. x 100 ml.,si,dextrofen-jarabe-x-1-fco-x-100-ml
215,PDIA_10COM_20,Diazepam 10 mg. x 20 comprimidos,si,diazepam-10-mg-x-20-comprimidos
216,PDIC100COM100,Diclofenaco 100 mg. x 100 comprimidos,si,diclofenaco-100-mg-x-100-comprimidos
217,PDIC12.5SUP_50,Diclofenaco 12.5 mg. x 50 supositorios,si,diclofenaco-125-mg-x-50-supositorios
218,PDIC500CAP_50,Dicloxacilina 500 mg. x 50 cápsulas,si,dicloxacilina-500-mg-x-50-cpsulas
220,PDIC_50COM100,Diclofenaco 50 mg. x 100 comprimidos,si,diclofenaco-50-mg-x-100-comprimidos
221,PDIC_75COM100,Diclofenaco 75 mg. x 100 comprimidos,si,diclofenaco-75-mg-x-100-comprimidos
222,PDIF__2SEM_15,Difenhidramina 2% Pomada x 1 tubo x 15 g.,si,difenhidramina-2porciento-pomada-x-1-tubo-x-15-g
223,PDOL000SOB_20,Dolomil - Paracetamol 1000 mg granulado x 20 sobres,si,dolomil---paracetamol-1000-mg-granulado-x-20-sobres
224,PENA_10COM200,Enalapril 10 mg. x 200 comprimidos,si,enalapril-10-mg-x-200-comprimidos
225,PERGCAFCOM_50,Ergotamina + Cafeína 1 mg. / 100 mg. x 50 comprimidos,si,ergotamina--cafena-1-mg--100-mg-x-50-comprimidos
226,PERI250SUS_100,Eritromicina 250 mg. / 5 ml. Suspension x 1 Fco. x 100 ml.,si,eritromicina-250-mg--5-ml-suspension-x-1-fco-x-100-ml
228,PERI500COM100,Eritromicina 500 mg. x 100 comprimidos,si,eritromicina-500-mg-x-100-comprimidos
230,PESPCOMCOM100,Espasmodol Compuesto x 100 comprimidos,si,espasmodol-compuesto-x-100-comprimidos
231,PESPCOMGOT_15,Espasmodol Compuesto Gotas x 15 ml.,si,espasmodol-compuesto-gotas-x-15-ml
232,PESPGOT_15,Espasmodol Gotas 0.1% x 15 ml.,si,espasmodol-gotas-01porciento-x-15-ml
233,PESP_10COM_50,Espasmodol 10 mg. x 50 comprimidos,si,espasmodol-10-mg-x-50-comprimidos
234,PFLUNF_GOT_30,Fludelta NF Gotas x 1 Fco. x 30 ml.,si,fludelta-nf-gotas-x-1-fco-x-30-ml
235,PFLUNF_SUS_100,Fludelta NF Suspension x 1 Fco. x 100 ml.,si,fludelta-nf-suspension-x-1-fco-x-100-ml
236,PFLU_20CAP_30,Fluoxetina 20 mg cápsulas x 30,si,fluoxetina-20-mg-cpsulas-x-30
237,PFLU___COM250,Fludelta NF x 250 comprimidos,si,fludelta-nf-x-250-comprimidos
239,PFMAX600GRA_20,FLUIDMAX Acetilcisteina 600 mg. polvo para solucion oral x 20 sobres,si,fluidmax-acetilcisteina-600-mg-polvo-para-solucion-oral-x-20-sobres
240,PGLI__5COM100,Glibenclamida 5 mg. x 100 comprimidos,si,glibenclamida-5-mg-x-100-comprimidos
241,PGRI500COM_50,Griseofulvina 500 mg. x 50 comprimidos,si,griseofulvina-500-mg-x-50-comprimidos
